ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0xc054,2,0xc0,0x54,"0xc0,0x54",TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_dh_rsa,sha256,aria_128_gcm,49236
0x23,1,0x00,0x23,"0x00,0x23",TLS_KRB5_WITH_3DES_EDE_CBC_MD5,Y,N,[RFC2712],tls_krb5,md5,3des_ede_cbc,35
0x25,1,0x00,0x25,"0x00,0x25",TLS_KRB5_WITH_IDEA_CBC_MD5,Y,N,[RFC2712],tls_krb5,md5,idea_cbc,37
0x2d,1,0x00,0x2d,"0x00,0x2d",TLS_DHE_PSK_WITH_NULL_SHA,Y,N,[RFC4785],tls_dhe_psk,sha,no_cipher,45
0x2c,1,0x00,0x2c,"0x00,0x2c",TLS_PSK_WITH_NULL_SHA,Y,N,[RFC4785],tls_psk,sha,no_cipher,44
0xc1,1,0x00,0xc1,"0x00,0xc1",TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,Y,N,[RFC5932],tls_dh_dss,sha256,camellia_256_cbc,193
0xc01a,1,0xc0,0x1a,"0xc0,0x1a",TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5054],tls_srp_sha,sha,3des_ede_cbc,49178
0xc04e,1,0xc0,0x4e,"0xc0,0x4e",TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_ecdh_rsa,sha256,aria_128_cbc,49230
0xc04d,1,0xc0,0x4d,"0xc0,0x4d",TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dhe_rsa,sha384,aria_256_cbc,49229
0xc045,1,0xc0,0x45,"0xc0,0x45",TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dhe_rsa,sha384,aria_256_cbc,49221
0xc044,1,0xc0,0x44,"0xc0,0x44",TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_dhe_rsa,sha256,aria_128_cbc,49220
0xc03c,1,0xc0,0x3c,"0xc0,0x3c",TLS_RSA_WITH_ARIA_128_CBC_SHA256,Y,N,[RFC6209],tls_rsa,sha256,aria_128_cbc,49212
0xb1,1,0x00,0xb1,"0x00,0xb1",TLS_PSK_WITH_NULL_SHA384,Y,N,[RFC5487],tls_psk,sha384,no_cipher,177
0xb9,1,0x00,0xb9,"0x00,0xb9",TLS_RSA_PSK_WITH_NULL_SHA384,Y,N,[RFC5487],tls_rsa,sha384,no_cipher,185
0xc020,1,0xc0,0x20,"0xc0,0x20",TLS_SRP_SHA_WITH_AES_256_CBC_SHA,Y,N,[RFC5054],tls_srp_sha,sha,aes_256_cbc,49184
0xc05a,1,0xc0,0x5a,"0xc0,0x5a",TLS_DH_anon_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_dh_anon,sha256,aria_128_gcm,49242
0xc07f,1,0xc0,0x7f,"0xc0,0x7f",TLS_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,N,[RFC6367],tls_dh_rsa,sha384,camellia_256_gcm,49279
0xc07e,1,0xc0,0x7e,"0xc0,0x7e",TLS_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,N,[RFC6367],tls_dh_rsa,sha256,camellia_128_gcm,49278
0xc05e,1,0xc0,0x5e,"0xc0,0x5e",TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_ecdh_ecdsa,sha256,aria_128_gcm,49246
0xc06e,1,0xc0,0x6e,"0xc0,0x6e",TLS_RSA_PSK_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_rsa,sha256,aria_128_gcm,49262
0xc06b,1,0xc0,0x6b,"0xc0,0x6b",TLS_PSK_WITH_ARIA_256_GCM_SHA384,Y,N,[RFC6209],tls_psk,sha384,aria_256_gcm,49259
0xc06a,1,0xc0,0x6a,"0xc0,0x6a",TLS_PSK_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_psk,sha256,aria_128_gcm,49258
0xc069,1,0xc0,0x69,"0xc0,0x69",TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_rsa,sha384,aria_256_cbc,49257
0xc067,1,0xc0,0x67,"0xc0,0x67",TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_dhe_psk,sha384,aria_256_cbc,49255
0xc063,1,0xc0,0x63,"0xc0,0x63",TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,Y,N,[RFC6209],tls_ecdh_rsa,sha384,aria_256_gcm,49251
0xbf,1,0x00,0xbf,"0x00,0xbf",TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_dh_anon,sha256,camellia_128_cbc,191
